,name,link
38,Acide (2023) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35259-acide-2023-hindi-dual-audio-hdrip-1080p-720p-480p.html
39,Manjummel Boys 2024 [Hindi (ORG) + Malayalam] HDRip 720p – 480p – 1080p,https://vegamovies.vg/35247-manjummel-boys-2024-hindi-studio-dub-malayalam-hdts-720p-480p.html
40,Aranmanai 4 2024 Telugu CAMRip 1080p,https://vegamovies.vg/35289-baak-2024-telugu-camrip-1080p.html
41,Kurangu Pedal 2024 Tamil CAMRip 1080p,https://vegamovies.vg/35244-kurangu-pedal-2024-tamil-camrip-1080p.html
42,Aranmanai 4 2024 Tamil CAMRip 1080p,https://vegamovies.vg/35241-aranmanai-4-2024-tamil-camrip-1080p.html
43,Aa Okkati Adakku 2024 Telugu CAMRip 1080p,https://vegamovies.vg/35238-aa-okkati-adakku-2024-telugu-camrip-1080p.html
44,The Fall Guy 2024 Hindi CAMRip 1080p,https://vegamovies.vg/35232-the-fall-guy-2024-hindi-camrip-1080p.html
45,Shaitaan 2024 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35256-shaitaan-2024-hindi-dvdscr-720p-480p.html
46,Unfrosted 2024 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35253-unfrosted-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
47,Noah’s Ark (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35250-noahs-ark-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
48,The Fist of the Condor 2023 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35220-the-fist-of-the-condor-2023-hindi-dual-audio-hdrip-1080p-720p-480p.html
49,Kasoombo 2024 Hindi CAMRip 1080p,https://vegamovies.vg/35217-kasoombo-2024-hindi-camrip-1080p.html
50,The Idea of You 2024 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35214-the-idea-of-you-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
51,Akelli 2023 Hindi HDRip | 720p | 480p | 1080p,https://vegamovies.vg/35211-akelli-2023-hindi-dvdscr-720p-480p.html
52,The Killer: A Girl Who Deserves to Die (2022) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35208-the-killer-a-girl-who-deserves-to-die-2022-hindi-dual-audio-hdrip-1080p-720p-480p.html
53,Wonka 2023 Hindi (ORG) Dual Audio HDRip 720p – 480p – 1080p,https://vegamovies.vg/35229-wonka-2023.html
54,Madgaon Express 2024 Hindi (ORG) HDRip 720p – 480p – 1080p,https://vegamovies.vg/35226-madgaon-express-2024-hindi-hdts-720p-480p.html
55,The Garfield Movie 2024 Hindi CAMRip 1080p,https://vegamovies.vg/35205-the-garfield-movie-2024-hindi-camrip-1080p.html
56,Bhimaa 2024 Hindi WEBRip 1080p,https://vegamovies.vg/35202-bhimaa-2024-hindi-webrip-1080p.html
57,Gabru Gang 2024 CAMRip Hindi 1080p,https://vegamovies.vg/35151-gabru-gang-2024-camrip-hindi-1080p.html
58,Mira (2022) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35235-mira-2022-hindi-dual-audio-hdrip-1080p-720p-480p.html
59,Emily the Criminal (2022) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35223-emily-the-criminal-2022-hindi-dual-audio-hdrip-1080p-720p-480p.html
60,Raid (2023) [Hindi + Tamil] HDRip 720p – 480p – 1080p,https://vegamovies.vg/35199-raid-2023-hindi-tamil-hdrip-720p-480p-1080p.html
61,A Taxi Driver (2017) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35196-a-taxi-driver-2017-hindi-dual-audio-hdrip-1080p-720p-480p.html
62,Skanda: The Attacker 2023 Hindi (ORG) Dual Audio HDRip 720p – 480p,https://vegamovies.vg/35193-skanda-the-attacker-2023-hindi-cleaned-dual-audio-hdrip-720p-480p.html
63,Theppa Samudram 2024 CAMRip Telugu 1080p,https://vegamovies.vg/35178-theppa-samudram-2024-camrip-telugu-1080p.html
64,DeAr (2024) [Hindi + Tamil] HDRip 720p – 480p – 1080p,https://vegamovies.vg/35175-dear-2024-hindi-tamil-hdrip-720p-480p-1080p.html
65,Sayen: The Huntress 2024 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35190-sayen-the-huntress-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
66,Laapataa Ladies 2023 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35184-laapataa-ladies-2023-hindi-hdts-720p-480p.html
67,Kaagaz 2 2024 Hindi (ORG) HDRip 720p – 480p – 1080p,https://vegamovies.vg/35181-kaagaz-2-2024-hindi-cleaned-hdts-720p-480p.html
68,Dange 2024 Hindi (ORG) HDRip 720p – 480p – 1080p,https://vegamovies.vg/35172-dange-2024-hindi-org-hdrip-720p-480p.html
69,Razakar: The Silent Genocide of Hyderabad 2024 CAMRip Hindi 1080p,https://vegamovies.vg/35187-razakar-the-silent-genocide-of-hyderabad-2024-camrip-hindi-1080p.html
70,Ruslaan 2024 CAMRip Hindi 1080p,https://vegamovies.vg/35166-ruslaan-2024-camrip-hindi-1080p.html
71,Rathnam 2024 CAMRip Tamil 1080p,https://vegamovies.vg/35163-rathnam-2024-camrip-tamil-1080p.html
72,Rathnam 2024 CAMRip Telugu 1080p,https://vegamovies.vg/35160-rathnam-2024-camrip-telugu-1080p.html
73,Ghostbusters: Frozen Empire (2024) (Cleaned) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35154-ghostbusters-frozen-empire-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
74,Operation Valentine 2024 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35157-operation-valentine-2024-hindi-hdts-720p-480p.html
75,Crakk 2024 Hindi (ORG) HDRip 720p – 480p – 1080p,https://vegamovies.vg/35148-crakk-2024-hindi-cleaned-hdts-720p-480p.html
76,City Hunter (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35145-city-hunter-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
77,The Curious Case of Tianjin (2022) Hindi Dual Audio HDRip 720p – 480p,https://vegamovies.vg/35133-the-curious-case-of-tianjin-2022-hindi-dual-audio-hdrip-720p-480p.html
78,Monkey Man (2024) ENGLISH HDRip – 720p – 480p – 1080p,https://vegamovies.vg/35130-monkey-man-2024-english-hdrip-720p-480p-1080p.html
